               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053603,            0.028765,            0.041532,            0.085841,             0.46291,              0.1068,            0.045648,             0.01558,            0.015858,            0.019972,           0.0032727,           0.0032727,            0.070545
                   1,            0.038161,            0.018665,            0.040014,              0.1085,             0.76227,             0.13914,             0.07479,             0.01433,           0.0067284,            0.018727,           0.0064753,           0.0064753,            0.040415
                   2,            0.035223,            0.015011,            0.040413,            0.068902,             0.45334,            0.073836,             0.03463,            0.016453,            0.008866,            0.018844,           0.0095458,           0.0095458,            0.010152
                   3,            0.028213,            0.015546,            0.039536,             0.10573,             0.76641,             0.13687,            0.061359,            0.013269,           0.0061379,            0.018368,            0.009406,            0.009406,            0.009406
                   4,            0.024254,            0.014258,            0.038564,             0.12566,             0.95208,               0.178,            0.096658,            0.011639,           0.0051337,            0.018147,            0.009406,            0.009406,            0.009406
                   5,            0.022738,            0.013406,             0.03894,             0.12638,             0.98867,             0.16179,             0.10316,            0.011259,           0.0047084,            0.017942,            0.009208,            0.009208,            0.009208
                   6,            0.020825,            0.012872,             0.03822,             0.12609,             0.99838,             0.16607,             0.11112,           0.0093063,           0.0042998,            0.017884,             0.00901,             0.00901,             0.00901
                   7,             0.01973,            0.012367,            0.037103,             0.12548,                   1,             0.24268,              0.1768,           0.0067835,            0.004103,             0.01769,            0.008812,            0.008812,            0.008812
                   8,            0.020573,            0.012889,            0.039485,             0.12664,             0.99864,             0.24523,             0.18095,           0.0067884,           0.0040388,            0.017576,            0.008614,            0.008614,            0.008614
                   9,            0.019012,            0.012217,             0.03794,             0.13416,             0.97049,             0.24992,             0.17679,           0.0068135,           0.0041481,            0.017404,            0.008416,            0.008416,            0.008416
                  10,            0.020559,            0.012215,             0.04002,                0.16,             0.95285,             0.29132,             0.20236,            0.008212,           0.0038334,            0.017156,            0.008218,            0.008218,            0.008218
                  11,             0.01686,            0.012216,            0.036303,             0.20389,             0.91843,             0.33849,             0.25404,           0.0064551,           0.0038248,            0.016389,             0.00802,             0.00802,             0.00802
                  12,            0.017674,            0.011702,            0.036486,             0.24711,             0.73293,             0.37627,             0.28925,           0.0056857,           0.0040204,             0.01539,            0.007822,            0.007822,            0.007822
                  13,            0.017377,            0.011818,             0.03604,              0.3068,             0.62227,             0.45987,             0.31661,           0.0071998,           0.0035689,            0.014485,            0.007624,            0.007624,            0.007624
                  14,            0.016733,            0.011538,            0.034983,             0.36575,             0.80591,             0.48599,             0.37464,           0.0056921,           0.0037407,            0.013879,            0.007426,            0.007426,            0.007426
                  15,            0.018072,            0.011656,            0.034909,             0.35667,             0.74463,             0.50992,             0.40659,           0.0055964,           0.0036131,            0.012668,            0.007228,            0.007228,            0.007228
                  16,            0.016621,             0.01146,            0.032492,             0.44696,             0.77039,             0.54127,             0.38053,           0.0075852,            0.003532,            0.012184,             0.00703,             0.00703,             0.00703
