               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052683,            0.029998,            0.045662,             0.10574,             0.33625,             0.11515,            0.058473,            0.013762,            0.013568,            0.021357,           0.0032727,           0.0032727,            0.070545
                   1,            0.039905,            0.019036,            0.044335,             0.20161,             0.52521,             0.11821,            0.056758,            0.020688,           0.0077229,            0.019925,           0.0064753,           0.0064753,            0.040415
                   2,            0.035318,            0.015477,            0.044543,             0.28275,             0.25969,            0.095097,            0.057249,            0.017038,           0.0065197,            0.019664,           0.0095458,           0.0095458,            0.010152
                   3,            0.031614,            0.015762,            0.042572,             0.31821,             0.61888,              0.1544,            0.094508,           0.0087493,           0.0064954,            0.019543,            0.009406,            0.009406,            0.009406
                   4,            0.026099,            0.014343,            0.042069,             0.32051,             0.72784,             0.15841,             0.10449,            0.009081,            0.005319,            0.019384,            0.009406,            0.009406,            0.009406
                   5,            0.023159,            0.013487,            0.040659,             0.11738,             0.87918,             0.16032,             0.10836,           0.0088672,           0.0046448,            0.019481,            0.009208,            0.009208,            0.009208
                   6,             0.02087,            0.013022,             0.04004,             0.13275,             0.80053,             0.17197,             0.11899,            0.008163,           0.0041776,            0.019107,             0.00901,             0.00901,             0.00901
                   7,            0.019886,            0.012198,            0.040901,             0.12529,             0.85194,             0.20387,              0.1601,           0.0059896,           0.0040563,            0.018891,            0.008812,            0.008812,            0.008812
                   8,            0.019646,            0.012492,            0.043162,             0.11028,                   1,             0.24311,             0.17059,            0.007572,           0.0038898,             0.01867,            0.008614,            0.008614,            0.008614
                   9,            0.018771,            0.011786,            0.040069,             0.45501,             0.62524,             0.30828,             0.23267,           0.0063933,           0.0038707,            0.017978,            0.008416,            0.008416,            0.008416
                  10,             0.02027,             0.01193,            0.040448,             0.53701,             0.52626,             0.37697,             0.27727,           0.0074926,           0.0038325,            0.016868,            0.008218,            0.008218,            0.008218
                  11,            0.017536,            0.011971,            0.038149,             0.64003,             0.50991,             0.43533,             0.33403,           0.0063109,           0.0036494,            0.015761,             0.00802,             0.00802,             0.00802
                  12,            0.018249,            0.011568,            0.038389,             0.33155,             0.61902,              0.4569,             0.34654,            0.007005,           0.0038121,            0.014456,            0.007822,            0.007822,            0.007822
                  13,            0.017791,            0.011588,            0.037153,             0.41541,             0.62892,             0.48357,             0.34439,           0.0095985,           0.0035519,            0.013291,            0.007624,            0.007624,            0.007624
                  14,             0.01633,            0.011275,            0.035186,             0.45569,             0.69534,             0.50195,             0.39606,           0.0056777,           0.0035646,            0.012384,            0.007426,            0.007426,            0.007426
                  15,            0.018244,            0.011282,            0.036064,             0.47208,             0.67142,              0.4864,             0.38244,           0.0058607,           0.0036868,            0.013984,            0.007228,            0.007228,            0.007228
                  16,            0.016493,            0.011624,            0.033495,             0.29846,             0.73132,             0.48463,             0.33612,           0.0080349,            0.003785,            0.013028,             0.00703,             0.00703,             0.00703
                  17,            0.016107,            0.011094,            0.034017,             0.48764,             0.81694,             0.50081,              0.3863,           0.0059004,            0.003492,            0.011835,            0.006832,            0.006832,            0.006832
                  18,             0.01726,            0.010921,            0.033554,             0.40036,               0.837,             0.51735,             0.40385,           0.0057418,           0.0035196,             0.01155,            0.006634,            0.006634,            0.006634
                  19,            0.017477,            0.011286,            0.034101,             0.52541,             0.82173,             0.58069,             0.45572,           0.0055863,           0.0035443,            0.011242,            0.006436,            0.006436,            0.006436
                  20,            0.015983,            0.010773,            0.031626,             0.55494,             0.78349,             0.60954,             0.47631,            0.005899,           0.0034781,            0.010963,            0.006238,            0.006238,            0.006238
                  21,            0.016125,            0.010794,            0.031214,             0.54353,             0.81581,             0.61121,              0.4784,           0.0053949,           0.0036784,            0.010378,             0.00604,             0.00604,             0.00604
                  22,            0.016079,            0.010958,            0.030715,             0.55298,             0.83057,              0.6705,             0.53988,            0.005707,           0.0033322,            0.009714,            0.005842,            0.005842,            0.005842
                  23,            0.015908,             0.01058,            0.030951,             0.51115,             0.86634,             0.69483,             0.54924,           0.0054106,           0.0033452,           0.0094791,            0.005644,            0.005644,            0.005644
                  24,            0.015727,            0.010575,            0.028748,             0.55699,             0.85917,             0.69885,             0.54431,           0.0058333,           0.0033282,           0.0091125,            0.005446,            0.005446,            0.005446
